Название;Автор;Цена в бел.руб.;Ссылка
Стратегическое сафари. Экскурсия по дебрям стратегического менеджмента;Минцберг Генри;40.52;https://magazin.belkniga.by/catalog/biznes-literatura/alp_strategicheskoe_safari_ekskursiya_po_1/
Стратегия жизни (м);Оллворт Д., Диллон К.;12.83;https://magazin.belkniga.by/catalog/biznes-literatura/strategiya_zhizni/
Стратегия организации торговли;Ольга Пигунова;11.21;https://magazin.belkniga.by/catalog/biznes-literatura/strategiya-organizacii-torgovli9789850628213/
Стратегия счастья. Как определить цель в жизни и стать лучше на пути к ней;Джим Лоэр;30.24;https://magazin.belkniga.by/catalog/biznes-literatura/alpinapab_strategiya_schastya_kak_oprede/
Страхование и управление рисками. Проблемы и перспективы. Монография;Архипов А.П.;27.82;https://magazin.belkniga.by/catalog/biznes-literatura/prospekt_strakhovanie_i_upravlenie_riskam/
Стримпанки. YouTube и бунтари, изменившие медиаиндустрию;Маани Пейван;21.18;https://magazin.belkniga.by/catalog/biznes-literatura/strimpanki_youtube_i_buntari_izmenivshi/
Супербоссы. Как выдающиеся руководители ведут за собой и управляют талантами;Сидни Финкельштейн;27.15;https://magazin.belkniga.by/catalog/biznes-literatura/topbusaw_superbossy_kak_vydayushchiesya_ruko/
СуперСила Сервиса;Зуева М.В.;14.36;https://magazin.belkniga.by/catalog/biznes-literatura/supersila-servisa/
Суперфэндом. Как под воздействием увлеченности меняются объекты нашего потребления и мы сами;Зои Фрааде-Бланар;18.50;https://magazin.belkniga.by/catalog/biznes-literatura/superfendom_kak_pod_vozdeystviem_uvleche/
Счастье;Ким Кийосаки;4.26;https://magazin.belkniga.by/catalog/biznes-literatura/schaste/
Тайм-менеджмент по Брайану Трейси. Как заставить время работать на вас;Брайан Трейси;22.45;https://magazin.belkniga.by/catalog/biznes-literatura/alp_taym_menedzhment_po_brayanu_treysi_k/
Тайм-менеджмент по помидору. Как концентрироваться на одном деле хотя бы 25 минут;Штаффан Нетеберг;22.85;https://magazin.belkniga.by/catalog/biznes-literatura/alpinapab_taym_menedzhment_po_pomidoru/
Тайм-менеджмент. Полный курс;Архангельский Г., Телегин;32.29;https://magazin.belkniga.by/catalog/biznes-literatura/taym_menedzhment_polnyy_kurs_uchebnoe_po/
Тактика Макиавелли. Выжить и преуспеть в современной корпорации;Марк Пауэлл;36.57;https://magazin.belkniga.by/catalog/biznes-literatura/taktika_makiavelli/
Таргетированная реклама. Точно в яблочко;Сергей Щербаков;27.90;https://magazin.belkniga.by/catalog/biznes-literatura/targetirovannaya_reklama_tochno_v_yablochko/
Твой любимый инстаграм. Как стать узнаваемым и получать доход, не имея сотен тысяч подписчиков;Серафимова Виктория Сергеевна;12.47;https://magazin.belkniga.by/catalog/biznes-literatura/biznes-v-insta-tvoy-lyubimyy-instagram-k/
Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;10.00;https://magazin.belkniga.by/catalog/biznes-literatura/proskurin-s-p-te-zhe-10-vopros-cherez-20l/
Тексты, которым верят. Коротко, понятно, позитивно;Петр Панда;17.70;https://magazin.belkniga.by/catalog/biznes-literatura/teksty_kotorym_veryat_korotko_ponyatno/
Теневая экономика : оценки, выводы, предложения;Тереня, Г.В.;5.80;https://magazin.belkniga.by/catalog/biznes-literatura/terenya_g_v_tenevaya_ekonomika_otsenki_vyv/
Теоретические основы бух. учета и анализа;Под. общ. ред. В.И. Стражева;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/teoreticheskie-osnovy-buh-ucheta-i-analiza9789850626493/
Теоретические основы менеджмента. Учебное пособие;Г. Ясников;4.92;https://magazin.belkniga.by/catalog/biznes-literatura/teoreticheskie_osnovy_menedzhmenta_uchebno/
Теоретические основы товароведения;Евдохова Л.Н. и др.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/teoreticheskie-osnovy-tovarovedeniya9789850626561/
Теоретические основы товароведения;Под общ. ред В.Е. Сыцко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/teoreticheskie-osnovy-tovarovedeniya9789850617323/
Теория U. Лидерство из будущего;Отто Шармер;81.31;https://magazin.belkniga.by/catalog/biznes-literatura/mif_biznes_teoriya_u_liderstvo_iz_budushch/
Теория анализа хозяйственной деятельности;Стражев В.И.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya-analiza-hozyaystvennoy-deyatel-nosti9789850620217/
Теория анализа хозяйственной деятельности;Стражев В.И.;5.64;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya-analiza-hozyaystvennoy-deyatel-nosti9789850622402/
Теория бухгалтерского учета;Стражев В.И.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya-buhgalterskogo-ucheta9789850621986/
Теория бухгалтерского учета;Стражев В.И.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya-buhgalterskogo-ucheta9789850618603/
Теория бухгалтерского учета. Практикум;Под общ. ред. Н.В. Пузенко;3.60;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya-buhgalterskogo-ucheta-praktikum9789850622440/
Теория игр в комиксах;Пастин А., Пастин Т., Хам;12.43;https://magazin.belkniga.by/catalog/biznes-literatura/bizvkomiks-teoriya-igr-v-komiksah/
Теория менеджмента;Латфуллин Г Р;37.70;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya_menedzhmenta_uchebnik_dlya_vuzov_3/
Теория менеджмента. Учебник для бакалавров;Зуб А.Т.;88.26;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya-menedzhmenta-uchebnik-dlya-bakalavr/
Теория ограничений в действии. Системный подход к повышению эффективности компании;Эли Шрагенхайм;32.14;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya_ogranicheniy_v_deystvii_sistemnyy/
Теория ограничений в действии. Системный подход к повышению эффективности компании;Эли Шрагенхайм;32.46;https://magazin.belkniga.by/catalog/biznes-literatura/alp_teoriya_ogranicheniy/
Теория экономического анализа. Учебное пособие. Гриф УМО по классическому университетскому образованию;Костюкова Елена Ивановна;31.38;https://magazin.belkniga.by/catalog/biznes-literatura/teoriya_ekonomicheskogo_analiza_ucheb_pos/
Терминологический справочник менеджера. Термины из ГОСТов, сводов знаний и сборников рекомендуемых терминов;Калошин Н.;21.00;https://magazin.belkniga.by/catalog/biznes-literatura/solon_bsi_terminologicheskiy_spravochnik/
Техника продаж крупным клиентам. 111 вопросов и ответов;Радмило Лукич;57.28;https://magazin.belkniga.by/catalog/biznes-literatura/alp_tekhnika_prodazh_krupnym_klientam_111/
Технический анализ фьючерсных рынков;Джон Дж. Мэрфи;102.08;https://magazin.belkniga.by/catalog/biznes-literatura/alp_tekhnicheskiy_analiz_fyuchersnykh_rynko/
Технология блокчейн - то, что движет финансовой революцией сегодня;Дон Тапскотт;37.23;https://magazin.belkniga.by/catalog/biznes-literatura/topeconaw_tekhnologiya_blokcheyn_to_chto/
Технология информационного обеспечения бизнеса;Под общ. ред. С.М. Мовшовича;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tehnologiya-informacionnogo-obespecheniya-biznesa9789850620071/
Типовой план счетов бухгалтерского учета. Инструкция о порядке применения типового плана счетов бухгалтерского учета по сост. на 20 марта 2020 г.;;6.08;https://magazin.belkniga.by/catalog/biznes-literatura/tipovoy-plan-schetov-buhgalterskogo-ucheta/
Типы лидеров. Определить, найти подход, добиться своего;Арчи Браун;38.78;https://magazin.belkniga.by/catalog/biznes-literatura/topbusaw_tipy_liderov_opredelit_nayti/
Тирания показателей;Джерри Мюллер;29.78;https://magazin.belkniga.by/catalog/biznes-literatura/alp_tiraniya_pokazateley_kak_oderzhimost/
Тишина в эпоху шума. Маленькая книга для большого города;Эрлинг Кагге;23.05;https://magazin.belkniga.by/catalog/biznes-literatura/alp_tishina_v_epokhu_shuma_malenkaya_kniga/
То, как мы работаем - не работает. Проверенные способы управления жизненной энергией;Шварц Тони;29.78;https://magazin.belkniga.by/catalog/biznes-literatura/alpinapab_to_kak_my_rabotaem_ne_rabo/
Товарная политика организации;Валерий Федько;53.86;https://magazin.belkniga.by/catalog/biznes-literatura/tovarnaya_politika_organizatsii_uchebnik_d/
Товарная политика предприятия отрасли;Сыцко В.Е., Садовский В.В., Целикова Л.В.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarnaya-politika-predpriyatiya-otrasli9789850612694/
Товароведение и экспертиза вкусовых  товаров;Рощина Е.В., Лисовская Д.П., Суконкина Е.Б.;4.08;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-i-ekspertiza-vkusovyh-tovarov9789850619853/
Товароведение и экспертиза зерномучных товаров;Микулович Л.С., Лисовская Д.П.;3.23;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-i-ekspertiza-zernomuchnyh-tovarov9789850616999/
Товароведение и экспертиза продовольственных товаров животного происхождения. Мясо и мясные товары. Рыба и рыбные товары;Под общ. ред. Д.Н. Лисовской;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-i-ekspertiza-prodovol-stvennyh-tovarov-zhivotnogo-proishozhdeniya-myaso-i-myasnye-tovary-ryba-i-rybnye-tovary9850611685/
Товароведение и экспертиза продовольственных товаров растительного происхождения. Кондитерские товары;Под общ. ред. Л.А. Галун;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-i-ekspertiza-prodovol-stvennyh-tovarov-rastitel-nogo-proishozhdeniya-konditerskie-tovary9789850615688/
Товароведение и экспертиза продовольственных товаров растительного происхождения. Плоды, овощи, грибы;Галун Л.А., Микулович Л.С., Коссая Ж.Н.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-i-ekspertiza-prodovol-stvennyh-tovarov-rastitel-nogo-proishozhdeniya-plody-ovoschi-griby9789850615671/
Товароведение непродовольственных товаров;Под общ. ред. В.Е. Сыцко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-neprodovol-stvennyh-tovarov9789850625380/
Товароведение непродовольственных товаров;Под общ. ред. В.Е. Сыцко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-neprodovol-stvennyh-tovarov9789850616890/
Товароведение непродовольственных товаров;Под общ. ред. В.Е. Сыцко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-neprodovol-stvennyh-tovarov9850612134/
Товароведение непродовольственных товаров;Грибанова И.И.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-neprodovol-stvennyh-tovarov9789850614612/
Товароведение непродовольственных товаров;Грибанова И.В.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-neprodovol-stvennyh-tovarov9850612002/
Товароведение непродовольственных товаров. Практикум;Федорцова Р.П., Березовская Р.К., Кудрявцева Е.В.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-neprodovol-stvennyh-tovarov-praktikum985061059X/
Товароведение продовольственных товаров;Микулович Л.С.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-prodovol-stvennyh-tovarov9789850618764/
Товароведение продовольственных товаров;Микулович Л.С.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-prodovol-stvennyh-tovarov9789850616623/
Товароведение продовольственных товаров;Микулович Л.С.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-prodovol-stvennyh-tovarov9789850614452/
Товароведение продовольственных товаров;Микулович Л.С.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/tovarovedenie-prodovol-stvennyh-tovarov9850612304/
Торговая реклама непродовольственных товаров;Байбардина Т.Н., Бурцева О.А. Процко Т.Л.;13.73;https://magazin.belkniga.by/catalog/biznes-literatura/torgovaya-reklama-neprodovol-stvennyh-tovarov9789850626530/
Торговые вычисления;Бояринцева Е.В., Масловская А.И.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/torgovye-vychisleniya9850609729/
Торговый хаос. Увеличение прибыли методами технического анализа;Джастин Грегори-Вильямс;45.70;https://magazin.belkniga.by/catalog/biznes-literatura/alp_torgovyy_khaos_uvelichenie_pribyli_me/
Точки контакта. Простые идеи для улучшения вашего маркетинга;Дмитрий Турусин;32.53;https://magazin.belkniga.by/catalog/biznes-literatura/mif_kreativ_tochki_kontakta/
Траблшутинг. Как решать нерешаемые задачи, посмотрев на проблему с другой стороны;Сергей Фаер;27.03;https://magazin.belkniga.by/catalog/biznes-literatura/alp_trablshuting_kak_reshat_nereshaemye_z/
Транспортное обслуживание;Виноградова C.Н., Петухова Н.Г.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/transportnoe-obsluzhivanie9850608390/
Трансформатор 2. Как развить скорость в бизнесе и не сгореть;Дмитрий Портнягин;30.24;https://magazin.belkniga.by/catalog/biznes-literatura/biznes_kak_transformator_2_kak_razvit/
Трансформатор 3. В чем сила, бро?;Дмитрий Портнягин;30.64;https://magazin.belkniga.by/catalog/biznes-literatura/biznes-kak-transformator-3-v-chem-sila/
Трансформатор. Как создать свой бизнес и начать зарабатывать;Дмитрий Портнягин;28.70;https://magazin.belkniga.by/catalog/biznes-literatura/biznes_kak_transformator_kak_sozdat_sv/
Тренинг для тренеров на 100%. Секреты интенсивного обучения;Наталья Жадько;25.67;https://magazin.belkniga.by/catalog/biznes-literatura/alpinapab_trening_dlya_trenerov_na_100_/
"Тренинг по нейромаркетингу. Где находится кнопка ""Купить"" в сознании покупателя?";Патрик Ренвуазе;28.42;https://magazin.belkniga.by/catalog/biznes-literatura/topbusaw_trening_po_neyromarketingu_gde/
Третья волна интернета: какими качествами должен обладать предприниматель будущего;Стив Кейс;24.73;https://magazin.belkniga.by/catalog/biznes-literatura/topbusaw_tretya_volna_interneta_kakimi/
Трэш. #Путь к осознанности;Хара Дмитрий;16.09;https://magazin.belkniga.by/catalog/biznes-literatura/zhizn-namaximum-tresh-put-k-osoznannost_1/
Турбокоманда. Как находить правильных людей и перестать все делать самому;Зварыгин М.;13.38;https://magazin.belkniga.by/catalog/biznes-literatura/biznesbuk-turbokomanda-kak-nahodit-pra/
Турбокоуч. Мощная система достижений для прорыва в карьере;Брайан Трейси, Кэмпбелл Фрейзер;9.98;https://magazin.belkniga.by/catalog/biznes-literatura/turbokouch-moschnaya-sistema-dostizheniy-dlya/
Ты же оратор. Мощные инструменты для выступлений и презентаций;Александр Яныхбаш;26.41;https://magazin.belkniga.by/catalog/biznes-literatura/biznes_kak_ty_zhe_orator_moshchnye_instrume/
Ты и деньги. Как открыть денежный поток и начать жить в изобилии;Елена Друма;26.01;https://magazin.belkniga.by/catalog/biznes-literatura/eldrum-ty-i-den-gi-kak-otkryt-denezhnyy/
Ты можешь! Главная книга для девушек, мечтающих о бизнесе;Назарова Альбина;26.34;https://magazin.belkniga.by/catalog/biznes-literatura/biznes-kak-ty-mozhesh-glavnaya-kniga-dlya/
Ты способна на большее. 12 привычек, которые мешают женщинам сделать карьеру;Салли Хелгесен;23.63;https://magazin.belkniga.by/catalog/biznes-literatura/ty_sposobna_na_bolshee_12_privychek_kot/
У вас есть 8 секунд. Как презентовать и продать идею;Пол Хеллман;20.97;https://magazin.belkniga.by/catalog/biznes-literatura/bizluchmiro-u-vas-est-8-sekund-kak-prez/
Убеди меня, если сможешь. Приемы успешных переговоров от Фрейда до Трампа;Джей Хейнрикс;38.78;https://magazin.belkniga.by/catalog/biznes-literatura/bizluchmiro_ubedi_menya_esli_smozhesh_pri/
Убеждай и побеждай: секреты эффективной аргументации;Непряхин Н.;27.03;https://magazin.belkniga.by/catalog/biznes-literatura/ubezhday_i_pobezhday_sekrety_effektivnoy/
Увольте себя!(2-е издание);Роберт Кийосаки;6.47;https://magazin.belkniga.by/catalog/biznes-literatura/uvolte_sebya_kiyosaki_r_2_e_izd_/
Удаленка. Экспресс-курс по работе из дома;Архангельский Глеб;23.25;https://magazin.belkniga.by/catalog/biznes-literatura/psilid-udalenka-ekspress-kurs-po-rabote/
Удвоение личных продаж. Как менеджеру по продажам повысить свою эффективность;Андрей Парабеллум;17.86;https://magazin.belkniga.by/catalog/biznes-literatura/alp_udvoenie_lichnykh_prodazh_kak_menedzher/
Украшения строптивой. От пяти пар сережек до международного бизнеса;Таня Либерман;27.15;https://magazin.belkniga.by/catalog/biznes-literatura/woncb-ukrasheniya-stroptivoy-ot-pyati-par/
Улмер, Селлнау, Сиджер: Эффективная кризисная коммуникация;Улмер Роберт;8.08;https://magazin.belkniga.by/catalog/biznes-literatura/effektivnaya_krizisnaya_kommunikatsiya_ot_k/
Умная заграница. Учеба и работа за рубежом. Руководство к действию;Соломатина К.А.;15.52;https://magazin.belkniga.by/catalog/biznes-literatura/umnaya_zagranitsa_ucheba_i_rabota_za_rubezh/
"Универсальный способ мышления. Введение в ""Книгу Перемен""";Бронислав Виногродский;61.42;https://magazin.belkniga.by/catalog/biznes-literatura/iumvinog_universalnyy_sposob_myshleniya/
Управление бизнесом по методикам спецназа;Брэндон Уэбб;29.78;https://magazin.belkniga.by/catalog/biznes-literatura/alp_upravlenie_biznesom_po_metodikam_sp/
Управление в организациях. Психология труда и организационная психология. Том 2;Кирхлер Эрих;4.42;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_v_organizatsiyakh_psikhologiya_tru/
Управление деятельностью таможенных органов;Виктор Макрусев;64.31;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_deyatelnostyu_tamozhennykh_orga/
Управление затратами на предприятии;Лебедев В Г;59.38;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie-zatratami-na-predpriyatii-uche/
Управление знаниями;Е. Воронцов;23.67;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie-znaniyami9789850626875/
Управление изменениями;В. Глушаков;1.48;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_izmeneniyami_posobie/
Управление изменениями в бизнесе;В. Глушаков;3.72;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_izmeneniyami_v_biznese/
Управление качеством;Под общ. ред. В.Е. Сыцко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie-kachestvom9789850616029/
Управление качеством. Менеджмент качества;Н. Немогай;2.96;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_kachestvom_menedzhment_kachestv/
Управление качеством. Практикум;Под общ. ред. В.Е. Сыцко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie-kachestvom-praktikum9789850616340/
Управление конфликтами;Киселева Анна Аркадьевна;10.67;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_konfliktami_prakticheskoe_ruk/
Управление операционной логистической деятельностью;Воронин А.Д., Королев А.В.;11.33;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie-operacionnoy-logisticheskoy-deyatel-nost-yu9789850624093/
Управление организацией. Учебное пособие;А. Брасс;8.44;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_organizatsiey_uchebnoe_posobie/
Управление переменами на предприятии;А. Рубахов;24.20;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_peremenami_na_predpriyatii/
Управление персоналом;;37.23;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie-personalom-3-e-izd/
Управление персоналом;Коллектив авторов (H;32.19;https://magazin.belkniga.by/catalog/biznes-literatura/al-pinapab-upravlenie-personalom/
Управление персоналом;Бабосов Е.М.;8.20;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_personalom_uchebnoe_posobie_b/
Управление персоналом. Учебное пособие;М. Петрович;11.64;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_personalom_uchebnoe_posobie/
Управление по ценностям. Методические материалы;Киселева А.;10.92;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie_po_tsennostyam/
Управление продажами;Светлана Гурская;12.90;https://magazin.belkniga.by/catalog/biznes-literatura/upravlenie-prodazhami9789850625779/
Управление результативностью. Система оценки результатов в действии;Анджела Барон;36.20;https://magazin.belkniga.by/catalog/biznes-literatura/alpinapab_upravlenie_rezultativnostyu/
Управленческие концепции и бизнес-модели. Полное руководство;Пол Хейг;41.73;https://magazin.belkniga.by/catalog/biznes-literatura/al-p-upravlencheskie-koncepcii-i-biznes-m/
Управляй как бог менеджмента. Инструменты выдающегося руководителя;Марк Хорстман;28.29;https://magazin.belkniga.by/catalog/biznes-literatura/bizluchmiro_upravlyay_kak_bog_menedzhmenta/
Уроки лидерства от топ-менеджеров крупных корпораций;Стив Таппин, Эндрю Кэйв;7.90;https://magazin.belkniga.by/catalog/biznes-literatura/uroki-liderstva-ot-top-menedzherov/
Успех. Лидер. Действие;Пьер Касс;56.57;https://magazin.belkniga.by/catalog/biznes-literatura/alp_uspekh_lider_deystvie_casse_0_/
Успешный инвестиционный проект. Риски, проблемы и решения;Петр Ковалев;42.34;https://magazin.belkniga.by/catalog/biznes-literatura/alpinapab_uspeshnyy_investitsionnyy_proek/
Философия менеджмента;Коносуке Мацусита;27.55;https://magazin.belkniga.by/catalog/biznes-literatura/anf_filosofiya_menedzhmenta_s_o/
Философия потребления;Шмигин И.;9.42;https://magazin.belkniga.by/catalog/biznes-literatura/filosofiya_potrebleniya_shmigin_i_2009_per/
Финансы и кредит;Под общ. ред. Л.Г. Колпиной;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-i-kredit9789850618405/
Финансы и кредит;Под общ. ред. Л.Г. Колпиной;2.74;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-i-kredit9789850619730/
Финансы и финансовый рынок;Под общ. ред. Г.Е. Кобринского, М.К. Фисенко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-i-finansovyy-rynok9789850619082/
Финансы организаций;Попов Е.М.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-organizaciy9789850624505/
Финансы организаций (предприятий);Под общ. ред. Л.Г. Колпиной;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-organizaciy-predpriyatiy9789850617606/
Финансы организаций (предприятий);Под общ. ред. Л.Г. Колпиной;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-organizaciy-predpriyatiy9789850616012/
Финансы предприятий;Под ред. Н.Е. Заяц , Т.Е. Василевской;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-predpriyatiy9789850616005/
Финансы предприятий;Попов Е. М.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-predpriyatiy9850610603/
Финансы предприятий;Под общ. ред. Н.Е. Заяц, Т.И. Василевской;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-predpriyatiy9850612452/
Финансы предприятий. В схемах и таблицах;Кондратьева Т.Н.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-predpriyatiy-v-shemah-i-tablicah9789850613196/
Финансы предприятий. Практикум. Для вузов;Под ред. Г.Е. Кобринского, Т.Е. Бондарь;2.58;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-predpriyatiy-praktikum-dlya-vuzov9789850614865/
Финансы предприятия. Практикум. Для ССУЗов;Кондратьева Т.Н.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/finansy-predpriyatiya-praktikum-dlya-ssuzov9789850613516/
Формула да Винчи. 7 ключей к гениальности;Йенс Мёллер;18.50;https://magazin.belkniga.by/catalog/biznes-literatura/formula_da_vinchi_7_klyuchey_k_genialnost/
Форс-мажор не приговор. Правила ведения дел в эпоху стабильной нестабильности;Елин Сергей Викторович;23.32;https://magazin.belkniga.by/catalog/biznes-literatura/psilid-fors-mazhor-ne-prigovor-pravila-v/
Фундаментальные идеи финансового мира. Эволюция;Бернстайн Питер;32.29;https://magazin.belkniga.by/catalog/biznes-literatura/fundamentalnye_idei_finansovogo_mira_e_1/
Фундаментальные идеи финансового мира. Эволюция;Бернстайн Питер;35.42;https://magazin.belkniga.by/catalog/biznes-literatura/fundamentalnye_idei_finansovogo_mira_e/
Хайпанем? Взрывной PR. Пошаговое руководство;Масленников Р.;24.40;https://magazin.belkniga.by/catalog/biznes-literatura/haypanem-vzryvnoy-pr-poshagovoe-rukovodst/
Харизма. Как влиять, убеждать и вдохновлять (м);Оливия Кабейн;14.31;https://magazin.belkniga.by/catalog/biznes-literatura/al-p-as-harizma-kak-vliyat-ubezhdat-i-vd/
Хватит мечтать, займись делом! Почему хорошо работать лучше, чем искать хорошую работу;Ньюпорт Кэл;28.22;https://magazin.belkniga.by/catalog/biznes-literatura/alp_khvatit_mechtat_zaymis_delom_pochemu/
Хит продаж. Как создавать и продвигать творческие проекты;Райан Холидей;12.40;https://magazin.belkniga.by/catalog/biznes-literatura/khit_prodazh_kak_sozdavat_i_prodvigat_t/
Холакратия. Революционный подход в менеджменте;Брайан Дж. Робертсон;25.60;https://magazin.belkniga.by/catalog/biznes-literatura/topbusaw_kholakratiya_revolyutsionnyy_podkho/
Ценные решения. Как работать с ценами, чтобы прибыль росла;Роман Тарасенко;35.28;https://magazin.belkniga.by/catalog/biznes-literatura/mif-kreativ-cennye-resheniya-kak-rabotat/
Ценный кадр. Как построить эффективную систему обучения в компании;Константин Мальцев;22.85;https://magazin.belkniga.by/catalog/biznes-literatura/alp_tsennyy_kadr_kak_postroit_effektivn/
Ценовая политика предприятия;Паршин В.Ф.;3.97;https://magazin.belkniga.by/catalog/biznes-literatura/cenovaya-politika-predpriyatiya9789850617897/
Ценовое преимущество;Марн М., Регнер Э., Завад;32.19;https://magazin.belkniga.by/catalog/biznes-literatura/cenovoe-preimuschestvo-skol-ko-dolzhen-sto/
Ценообразование;Емельянова Т.В.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/cenoobrazovanie9789850614346/
Ценообразование;Емельянова Т.М.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/cenoobrazovanie9850612088/
Ценообразование;Емельянова Т.М.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/cenoobrazovanie978985061040/
Ценообразование в организации. Практикум;Под общ. ред. Т.В. Емельяновой;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/cenoobrazovanie-v-organizacii-praktikum9789850623508/
Ценообразование в организации. Практикум;Под общ. ред. Т.В. Емельяновой;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/cenoobrazovanie-v-organizacii-praktikum9789850619310/
Цифровая трансформация бизнеса;Стефани Ворнер;41.53;https://magazin.belkniga.by/catalog/biznes-literatura/al-p-cifrovaya-transformaciya-biznesa-izme/
Цифровой вихрь. Как побеждать диджитал-новаторов их же оружием;Джефф Лаукс;31.05;https://magazin.belkniga.by/catalog/biznes-literatura/topbusaw_tsifrovoy_vikhr_kak_pobezhdat_d/
Человек + машина;Джеймс Уилсон;42.61;https://magazin.belkniga.by/catalog/biznes-literatura/mif_it_chelovek_mashina_novye_printsi/
"Человек, создавший ""Amway""";Пэт Уильямс;4.45;https://magazin.belkniga.by/catalog/biznes-literatura/chelovek_sozdavshiy_amway/
Человек, управляющий людьми. Как быть руководителем в России и не потерять власть;Ващенко Андрей;30.29;https://magazin.belkniga.by/catalog/biznes-literatura/chelovek_upravlyayushchiy_lyudmi_kak_byt_ruk/
Человек. Общество. Государство. Тесты. Для школьников и абитуриентов;Шимукович С.Ф.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/chelovek-obschestvo-gosudarstvo-testy-dlya-shkol-nikov-i-abiturientov978985061051/
Чему не учат в Гарвардской школе бизнеса;Марк Маккормак;15.63;https://magazin.belkniga.by/catalog/biznes-literatura/chemu-ne-uchat-v-garvardskoy-shkole-biznesa/
